street_edge_id,osm_way_id,way_type
1371,475165072,residential
1372,475165072,residential
1373,475165072,residential
1374,475165072,residential
1375,475165072,residential
1376,475168557,residential
1377,475170225,tertiary
1378,475171055,residential
1379,475171055,residential
1380,475171056,residential
1381,475171056,residential
1382,475171056,residential
1383,475171056,residential
1384,475172365,residential
1385,475174454,residential
1386,475174455,residential
1387,475174455,residential
1388,475174456,residential
1389,475174457,primary
1390,475174689,residential
1391,475174689,residential
1392,475174689,residential
1393,475174689,residential
1394,475174690,residential
1395,475174690,residential
1396,475175108,residential
1397,475175108,residential
1398,475175109,residential
1399,475175325,residential
1400,475175326,residential
1401,475175327,residential
1402,475176664,primary
1403,475176664,primary
1404,475176670,primary
1405,475176670,primary
1406,475177375,tertiary
1407,475177375,tertiary
1408,475177376,tertiary
1409,475177376,tertiary
1410,475177911,residential
1411,475177912,residential
1412,475177913,residential
1413,475177914,residential
1414,475178573,residential
1415,475180203,residential
1416,475180204,residential
1417,475180205,residential
1418,475180206,residential
1419,475180207,residential
1420,475180208,residential
1421,475180209,residential
1422,475180781,residential
1423,475180782,tertiary
1424,475180783,tertiary
1425,475180783,tertiary
1426,475180784,tertiary
1427,475187527,tertiary
1428,475187528,tertiary
1429,475187529,tertiary
1430,475333035,secondary
1431,475333036,secondary
1432,475333036,secondary
1433,475333036,secondary
1434,475333291,secondary
1435,475333292,secondary
1436,475334246,tertiary
1437,475335135,residential
1588,475407566,tertiary
1438,475335142,tertiary
1439,475335142,tertiary
1440,475335142,tertiary
1441,475335142,tertiary
1442,475335142,tertiary
1443,475335142,tertiary
1444,475335142,tertiary
1445,475335142,tertiary
1446,475335145,tertiary
1447,475335145,tertiary
1448,475335319,tertiary
1449,475335319,tertiary
1450,475337188,residential
1451,475337189,tertiary
1452,475337189,tertiary
1453,475337709,tertiary
1454,475337710,tertiary
1455,475337710,tertiary
1456,475338565,tertiary
1457,475338565,tertiary
1458,475338565,tertiary
1459,475345451,tertiary
1460,475348004,tertiary
1461,475348004,tertiary
1462,475348004,tertiary
1463,475348323,secondary
1464,475348323,secondary
1465,475350265,residential
1466,475350265,residential
1467,475350265,residential
1468,475366028,tertiary
1469,475366029,tertiary
1470,475366030,tertiary
1471,475366031,tertiary
1472,475370407,tertiary
1473,475370407,tertiary
1474,475370875,residential
1475,475370876,residential
1476,475370876,residential
1477,475370876,residential
1478,475370876,residential
1479,475378221,primary
1480,475379409,tertiary
1481,475379409,tertiary
1482,475379409,tertiary
1483,475379409,tertiary
1484,475379409,tertiary
1485,475379409,tertiary
1486,475379409,tertiary
1487,475379409,tertiary
1488,475379410,tertiary
1489,475379410,tertiary
1490,475379896,secondary
1491,475382129,residential
1492,475382131,residential
1493,475383589,tertiary
1494,475384149,residential
1495,475384149,residential
1496,475384150,residential
1497,475384151,residential
1498,475384151,residential
1499,475384152,residential
1500,475384153,residential
