label_id,street_edge_id
1460,132053
1325,331003
1335,269484
1328,331003
1330,269485
1331,269484
1461,132053
1372,111997
1346,121145
1340,159934
1341,159934
1344,156097
1347,121145
1350,121145
1353,106073
1354,121145
1355,269472
1358,121147
1360,106073
1362,111997
1363,111997
1364,171356
1365,171356
1366,111996
1367,111996
1369,111997
1371,170943
1374,170943
1361,171358
1356,121147
1375,170943
10958,114632
1373,111997
1352,121145
10957,114632
1348,121145
1351,121145
1370,111997
1345,152975
1368,171358
26767,190532
1376,171358
1379,171358
1380,171357
1381,171357
1382,131508
1383,131508
1384,171355
1389,131510
1391,131510
1392,131510
1394,131510
1396,131510
1398,131510
1399,115894
1400,131510
1401,115895
1402,131509
1403,131509
1405,131509
1406,131509
1407,131509
1409,131509
1410,131509
1411,131509
1412,131509
1413,239761
1414,132050
1416,132050
1417,132050
1418,131509
1420,132050
1421,132050
1422,132050
1423,132050
1386,131508
1378,171357
1390,131510
1408,131509
1387,131508
1388,125678
1404,131509
1395,131510
1393,131510
1397,131510
1419,131509
1415,132050
1385,171355
26768,190532
1424,132050
1425,132050
1426,239759
1428,239759
1429,238303
1435,238304
1432,170015
1437,170016
1438,238303
1439,238303
1442,170016
1443,199794
1444,170017
1445,170017
1446,170017
1448,170019
1449,136459
1450,170017
1451,136459
1452,136459
1453,132055
1454,132055
1455,136458
1456,136458
1457,132053
1458,132053
1462,199791
1463,199794
1464,199794
1465,132053
1466,167008
1470,167008
1468,167008
1469,167008
1471,167008
1472,167008
1473,167008
1433,170015
1440,170016
1434,170015
10959,114632
1447,170017
1436,238304
1441,199798
26769,190532
1459,136459
1427,239759
1474,167008
1475,167008
1476,167008
1477,167008
1478,167008
1479,239758
1480,167008
1481,167008
1482,167008
1483,167007
1484,167007
1485,239759
1486,167007
1487,167007
1489,167007
1490,167007
1491,167007
1493,167007
1494,167007
1495,167007
1497,167007
1498,167007
1499,167007
1501,167007
1502,167007
1506,167007
1507,239761
1508,239760
1509,239760
1510,108874
1511,167007
1512,239760
1514,239760
1517,239760
1519,239760
1520,170016
1522,170016
1523,170016
1516,239760
1496,167007
1504,167007
1488,167007
1524,199794
1513,239760
10961,114632
1518,239760
26730,241817
26770,191745
1526,111996
1527,115896
1628,239832
1528,239834
1530,239835
