label_id,cluster_id,clustered,cluster_label_count
421,58548,1,3
422,81960,0,1
423,56223,1,3
424,71650,1,2
425,59361,1,3
426,65000,1,3
427,72062,1,2
428,68464,1,2
429,82874,0,1
430,82221,0,1
431,83920,0,1
432,83607,0,1
434,70310,1,3
435,70443,1,3
437,85826,0,1
438,69364,1,2
439,67489,0,1
440,67097,1,3
441,68743,0,1
442,69955,1,6
443,70610,1,2
444,67505,1,5
445,71156,1,4
446,58106,1,2
447,57710,1,4
448,64213,1,5
449,57621,1,4
450,61248,1,3
451,57371,1,5
452,59347,1,4
453,57891,0,1
454,60451,1,2
455,66161,1,2
456,57309,0,1
457,60578,0,1
458,66585,1,2
459,64109,1,2
460,85254,1,2
461,60417,1,2
462,62590,1,2
463,85952,0,1
464,62677,1,4
465,64511,1,4
466,65695,0,1
467,57241,1,3
468,61239,1,2
469,80726,0,1
470,57332,1,2
471,62682,1,4
472,56932,0,1
473,70774,1,2
474,67525,1,3
475,85266,0,1
476,85751,0,1
477,85900,0,1
478,85357,0,1
479,84808,0,1
480,67556,0,1
481,72297,0,1
482,70974,1,2
483,70141,1,2
484,14767,1,5
485,12311,1,2
486,28690,1,3
487,27165,1,2
488,10366,1,4
489,21765,1,3
502,19534,1,4
503,15529,1,3
504,840,1,2
505,18673,1,3
506,18666,1,4
507,16823,1,3
508,15521,1,4
509,18699,1,4
510,47501,0,1
511,47575,0,1
512,51811,0,1
513,51663,1,2
514,55524,0,1
515,49593,0,1
516,51078,0,1
517,55235,0,1
518,49079,0,1
519,54679,0,1
520,19754,1,3
521,1611,1,3
522,21083,1,3
523,22823,1,3
524,153180,1,5
525,150009,1,3
526,153197,1,2
527,164847,0,1
528,162382,0,1
529,160884,1,4
530,148080,1,3
531,110906,1,2
532,127478,1,2
533,111057,1,3
534,111435,1,2
535,94168,1,2
536,110102,1,3
538,113444,1,3
539,110636,1,3
540,111107,1,3
541,123625,1,2
542,143772,1,2
543,135033,1,2
544,134059,1,2
545,141356,1,2
546,143536,0,1
547,145638,0,1
548,145057,1,2
549,135032,0,1
550,143769,0,1
551,136197,0,1
552,143764,0,1
553,143027,0,1
554,104187,1,3
555,115288,1,2
556,112883,1,2
557,100564,1,2
558,98633,1,2
559,122439,1,2
560,126623,1,2
561,141428,0,1
562,141425,0,1
563,143694,0,1
564,142825,0,1
565,136192,0,1
566,168209,0,1
567,147732,1,2
568,167988,1,2
569,167985,1,3
570,147723,1,3
572,169489,0,1
573,192614,0,1
574,167980,1,3
575,147813,1,3
576,146800,1,3
577,146791,1,2
578,148351,1,2
579,131162,0,1
580,68365,1,3
585,80013,0,1
586,75940,1,2
587,75133,1,2
588,76635,0,1
589,72497,0,1
590,75997,0,1
591,76736,0,1
592,79349,0,1
593,79666,0,1
594,74393,0,1
595,77007,0,1
596,74952,0,1
597,75143,0,1
598,79186,0,1
599,76999,0,1
600,74514,0,1
601,76732,0,1
602,80084,0,1
603,77182,0,1
604,78387,0,1
605,80325,0,1
606,80312,0,1
607,74923,0,1
608,80308,0,1
609,79019,0,1
611,75961,0,1
612,76183,0,1
613,77346,0,1
614,79307,0,1
615,74636,0,1
616,78075,0,1
617,72515,0,1
618,77071,0,1
619,76837,0,1
620,72569,0,1
621,72562,0,1
622,80470,0,1
623,77341,0,1
624,74904,0,1
625,72493,0,1
626,72507,0,1
627,74963,0,1
628,72486,0,1
629,58138,0,1
630,64476,1,2
631,61215,1,2
632,85695,0,1
633,86046,0,1
634,81355,0,1
635,84207,0,1
636,84452,0,1
637,84257,0,1
639,81845,0,1
640,83326,0,1
641,83384,0,1
642,83228,0,1
643,83373,0,1
644,83414,0,1
645,84399,0,1
646,85105,0,1
647,83612,0,1
648,85985,0,1
649,84968,0,1
650,84863,0,1
651,84265,0,1
652,85224,0,1
653,83722,0,1
654,84772,0,1
655,85449,0,1
656,61202,1,2
657,63613,1,2
659,132801,0,1
660,97096,1,2
